timestamp,symbol,best_level_ofi,sequence,multi_level_ofi,integrated_ofi
2024-10-21 11:54:29.223769812+00:00,AAPL,2,11405848,2.0,0.04001959727753774
2024-10-21 11:54:29.225030400+00:00,AAPL,3,11405849,3.0,0.06002939591630661
2024-10-21 11:54:29.712434212+00:00,AAPL,0,11406449,66.66666666666666,20.526860855787415
2024-10-21 11:54:29.764673165+00:00,AAPL,0,11406501,-66.66666666666666,-20.526860855787415
2024-10-21 11:54:29.764685027+00:00,AAPL,0,11406502,203.33333333333334,25.34140095133573
2024-10-21 11:54:36.289427977+00:00,AAPL,0,11409388,91.29365079365078,67.17996968313707
2024-10-21 11:54:37.990793976+00:00,AAPL,200,11410372,200.0,4.001959727753775
2024-10-21 11:54:39.124291588+00:00,AAPL,-1,11410864,-191.87698412698413,-119.80673745221681
2024-10-21 11:54:39.134140341+00:00,AAPL,1,11410873,191.87698412698413,119.80673745221681
2024-10-21 11:54:41.233181043+00:00,AAPL,-3,11411787,-3.0,-0.06002939591630661
2024-10-21 11:54:41.234620509+00:00,AAPL,1,11411790,1.0,0.02000979863876887
2024-10-21 11:54:41.235907431+00:00,AAPL,-1,11411831,-1.0,-0.02000979863876887
2024-10-21 11:54:41.235977207+00:00,AAPL,-2,11411832,-2.0,-0.04001959727753774
2024-10-21 11:54:41.238618235+00:00,AAPL,2,11411834,254.61984126984126,85.57781295407663
2024-10-21 11:54:41.239827037+00:00,AAPL,3,11411835,3.0,0.06002939591630661
2024-10-21 11:54:50.970297264+00:00,AAPL,0,11416279,-129.62698412698413,-97.9285396725978
2024-10-21 11:54:50.970336474+00:00,AAPL,0,11416280,-7.25,-5.976741180968772
2024-10-21 11:54:53.247532557+00:00,AAPL,-3,11417889,-3.0,-0.06002939591630661
2024-10-21 11:54:53.248893986+00:00,AAPL,-2,11417890,-254.61984126984126,-85.57781295407663
2024-10-21 11:54:53.251320969+00:00,AAPL,3,11417891,3.0,0.06002939591630661
2024-10-21 11:54:53.252546517+00:00,AAPL,2,11417894,2.0,0.04001959727753774
2024-10-21 11:54:55.503497741+00:00,AAPL,0,11418757,-60.12301587301587,-45.76592760723891
2024-10-21 11:54:55.503541005+00:00,AAPL,0,11418758,59.87301587301587,45.55983308375723
2024-10-21 11:54:55.551806996+00:00,AAPL,0,11418795,200.0,24.31505790854636
2024-10-21 11:54:58.132928650+00:00,AAPL,0,11420067,-103.53849206349204,-76.48065337204213
2024-10-21 11:54:58.133944065+00:00,AAPL,0,11420068,-100.0,-12.15752895427318
2024-10-21 11:55:09.125042325+00:00,AAPL,0,11428279,-263.2063492063492,-70.90123403509295
2024-10-21 11:55:09.125055670+00:00,AAPL,0,11428280,263.2063492063492,70.90123403509295
2024-10-21 11:55:09.160009889+00:00,AAPL,0,11428375,7.25,5.976741180968772
